Category,Link,Title,Description,Sub_category,Author,Published Date
general,https://www.theage.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.watoday.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
general,https://www.smh.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
sports,https://www.theage.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,sports,,2025-03-19T11:18:00+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/hawks-force-fifth-game-decider-20250319-p5lky1.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Hawks force fifth game decider,The Illawarra Hawks force a fifth game decider in the NBL Championship Series against Melbourne United.,general,,2025-03-19T11:18:00+00:00
business,https://www.ibtimes.com.au/online-shopping-boom-australians-spent-au69b-2024-millennials-lead-surge-1857016,"Online Shopping Boom: Australians Spent AU$69B In 2024, Millennials Lead The Surge","Millennials were the biggest spenders at $25 billion, while Gen X, Gen Z, and Baby Boomers spent AU$19 billion, AU$12 billion, and AU$10 billion, respectively.",business,,2025-03-19T11:17:43+00:00
politics,https://www.smh.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",politics,,2025-03-19T11:10:52+00:00
politics,https://www.smh.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,politics,,2025-03-19T11:10:39+00:00
general,https://www.theage.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
general,https://www.smh.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
general,https://www.watoday.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:10:39+00:00
entertainment,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNlFDMEdveHZjYk44Y0JGeEdRaFhaXzc0eDRnYTM3RThRWVFScGhZTTNiVm5BTXJ2ZHNtM0RyTHl5dkhFVEdzeHctcFBia1REb2x5VjRZWEp4alltYmYtaVJibDdmbzZycnNwblFqR2ZqV2hIZVJOZTZ0NVM5SE1Vek5uX0xJTGpYSjhROVJRWmo4ay1TcW5UdFlBeFAzZmlmYTh1WVlMYVVUZG1sWmk3aEtOeGMteDdPcGdTcjNMQXE1YXhwSUs3QXJ2THQyNDRISTdSaDBtMWxKTlB10gF3QVVfeXFMTTlqdWRDclRHN2M5TGZQNFU3QmgzTndUVlBuelJWZlIzQ3FSSzN0ZDNqX3kzUHRpTy04UUg0Mm91bnJKeXRJczQ1MXZmN2Jzak5HS3Z0ajFvdko5eXV5QV9UOUN4bWxJTjhxREprSkV6RnQxTnRpalU?oc=5,MAFS' Teejay blindsides wife Beth with relationship bombshell – but what he says once she leaves the room is worse - Nine Shows,MAFS' Teejay blindsides wife Beth with relationship bombshell – but what he says once she leaves the room is worse&nbsp;&nbsp;Nine ShowsLeaked MAFS photos reveal major twist for Teejay and Beth after homestays&nbsp;&nbsp;Yahoo Lifestyle AustraliaMarried At First Sight's Beth Kelly rips into Teejay Halkias and accuses him of leading her on to get to the e&nbsp;&nbsp;Daily MailUh-Oh: Another MAFS Groom Has Switched Up On His Bride & Fans Are Not Surprised&nbsp;&nbsp;Pedestrian.TVBeth’s family raise concerns about Teejay’s feelings for her&nbsp;&nbsp;Nine Shows,entertainment,,2025-03-19T11:09:04+00:00
general,https://www.brisbanetimes.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.watoday.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.smh.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.theage.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_national,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.brisbanetimes.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.theage.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.watoday.com.au/national/fire-rips-through-perth-business-20250319-p5lkxy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Fire rips through Perth business,One man has been treated for burns and dozens forced to flee a gym after fire ripped through a family-run business in Balcatta.,general,,2025-03-19T11:08:04+00:00
general,https://www.smh.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.watoday.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
sports,https://www.smh.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,sports,,2025-03-19T11:08:00+00:00
sports,https://www.theage.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,sports,,2025-03-19T11:08:00+00:00
general,https://www.theage.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.watoday.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.brisbanetimes.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
general,https://www.brisbanetimes.com.au/sport/soccer/popovic-urges-fans-to-hold-team-to-high-standards-20250319-p5lkxz.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Popovic urges fans to hold team to high standards,Socceroos coach Tony Popovic urges fans to hold his team to high standards in their pursuit for World Cup qualification.,general,,2025-03-19T11:08:00+00:00
sports,https://www.theguardian.com/football/2025/mar/19/newcastle-united-fans-carabao-cup-final-photo-essay,Seventy years of hurt: how Newcastle’s Toon Army savoured historic day,"With hope their long wait for domestic triumph would finally be ended, thousands of fans descended on London to watch their team take on Liverpool in the Carabao Cup finalIn addition to photographing the fans who flocked to Wembley for the Carabao Cup final, Orlando Gili interviewed writer, playwright and Newcastle fan Michael Chaplin about what it means to follow the Magpies.What is a typical Newcastle side? It’s built into the culture to play attractive football. It hasn’t always been the case, but it’s certainly true of the late 1950s and 1960s and the great Kevin Keegan team was built...",sports,Orlando Gili,2025-03-19T11:06:23+00:00
general,https://www.watoday.com.au/national/wa-premier-roger-cooks-new-cabinet-sworn-in-20250319-p5lkxx.html?ref=rss&utm_medium=rss&utm_source=rss_feed,WA Premier Roger Cook's new cabinet sworn in,Rookie minister Meredith Hammat is confident health won't suffer after the portfolio was split for the first time.,general,,2025-03-19T11:05:00+00:00
general,https://www.brisbanetimes.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:04:32+00:00
politics,https://www.theage.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Cartoons of the week,The best Herald artworks of the week from across the board.,politics,,2025-03-19T11:04:32+00:00
general,https://www.watoday.com.au/politics/federal/cartoons-of-the-week-20250314-p5ljp9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Cartoons of the week,The best Herald artworks of the week from across the board.,general,,2025-03-19T11:04:32+00:00
general,https://www.smh.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
general,https://www.brisbanetimes.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
politics,https://www.theage.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",politics,,2025-03-19T11:03:14+00:00
general,https://www.brisbanetimes.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
general,https://www.theage.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
general,https://www.watoday.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_feed,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
general,https://www.watoday.com.au/politics/federal/best-of-cartoons-march-20-2025-20250319-p5lkxt.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,"Best of cartoons, March 20, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",general,,2025-03-19T11:03:14+00:00
general,https://www.smh.com.au/national/wa-mother-jailed-over-crash-that-killed-daughters-20250319-p5lkxv.html?ref=rss&utm_medium=rss&utm_source=rss_feed,WA mother jailed over crash that killed daughters,"The Mandurah mother, who closed her eyes for a ""split second"", described the tragedy as ""every parent's worst nightmare"".",general,,2025-03-19T11:00:39+00:00
general,https://www.theage.com.au/national/wa-mother-jailed-over-crash-that-killed-daughters-20250319-p5lkxv.html?ref=rss&utm_medium=rss&utm_source=rss_national,WA mother jailed over crash that killed daughters,"The Mandurah mother, who closed her eyes for a ""split second"", described the tragedy as ""every parent's worst nightmare"".",general,,2025-03-19T11:00:39+00:00
general,https://www.theage.com.au/national/wa-mother-jailed-over-crash-that-killed-daughters-20250319-p5lkxv.html?ref=rss&utm_medium=rss&utm_source=rss_feed,WA mother jailed over crash that killed daughters,"The Mandurah mother, who closed her eyes for a ""split second"", described the tragedy as ""every parent's worst nightmare"".",general,,2025-03-19T11:00:39+00:00
general,https://www.watoday.com.au/national/wa-mother-jailed-over-crash-that-killed-daughters-20250319-p5lkxv.html?ref=rss&utm_medium=rss&utm_source=rss_national,WA mother jailed over crash that killed daughters,"The Mandurah mother, who closed her eyes for a ""split second"", described the tragedy as ""every parent's worst nightmare"".",general,,2025-03-19T11:00:39+00:00
general,https://www.smh.com.au/national/wa-mother-jailed-over-crash-that-killed-daughters-20250319-p5lkxv.html?ref=rss&utm_medium=rss&utm_source=rss_national,WA mother jailed over crash that killed daughters,"The Mandurah mother, who closed her eyes for a ""split second"", described the tragedy as ""every parent's worst nightmare"".",general,,2025-03-19T11:00:39+00:00
general,https://www.smh.com.au/national/perth-man-avoids-jail-over-antisemitic-attack-20250319-p5lkxw.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Perth man avoids jail over antisemitic attack,"A magistrate labelled the vile messaging sprayed across three Perth suburbs ""repulsive"".",general,,2025-03-19T10:59:45+00:00
general,https://www.theage.com.au/national/perth-man-avoids-jail-over-antisemitic-attack-20250319-p5lkxw.html?ref=rss&utm_medium=rss&utm_source=rss_national,Perth man avoids jail over antisemitic attack,"A magistrate labelled the vile messaging sprayed across three Perth suburbs ""repulsive"".",general,,2025-03-19T10:59:45+00:00
general,https://www.brisbanetimes.com.au/national/perth-man-avoids-jail-over-antisemitic-attack-20250319-p5lkxw.html?ref=rss&utm_medium=rss&utm_source=rss_national,Perth man avoids jail over antisemitic attack,"A magistrate labelled the vile messaging sprayed across three Perth suburbs ""repulsive"".",general,,2025-03-19T10:59:45+00:00
general,https://www.theage.com.au/national/perth-man-avoids-jail-over-antisemitic-attack-20250319-p5lkxw.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Perth man avoids jail over antisemitic attack,"A magistrate labelled the vile messaging sprayed across three Perth suburbs ""repulsive"".",general,,2025-03-19T10:59:45+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
general,https://www.watoday.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
general,https://www.watoday.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
general,https://www.smh.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
general,https://www.theage.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
general,https://www.brisbanetimes.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,general,Shayne Hope,2025-03-19T10:56:23+00:00
sports,https://www.theage.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,sports,Shayne Hope,2025-03-19T10:56:23+00:00
sports,https://www.smh.com.au/sport/basketball/battered-hawks-pull-off-upset-win-over-united-to-force-nbl-title-decider-20250319-p5lkxs.html?ref=rss&utm_medium=rss&utm_source=rss_sport,Battered Hawks pull off upset win over United to force NBL title decider,The NBL championship series will go to a deciding fifth game after the injury-hit Illawarra Hawks pulled off a remarkable 80-71 win over Melbourne United.,sports,Shayne Hope,2025-03-19T10:56:23+00:00
business,https://www.ibtimes.com.au/hamas-says-open-talks-israel-keeps-gaza-strikes-1857017,Hamas Says Open To Talks As Israel Keeps Up Gaza Strikes,Hamas said it remained open to negotiations while calling for pressure on Israel Wednesday to implement a Gaza truce after its deadliest bombing since the fragile ceasefire began in January.,business,,2025-03-19T10:21:09+00:00
general,https://www.theage.com.au/national/victoria/caulfield-grammar-refers-incident-to-police-after-student-approached-by-stranger-20250319-p5lkxp.html?ref=rss&utm_medium=rss&utm_source=rss_national,Caulfield Grammar refers incident to police after student approached by stranger,Caulfield Grammar said one of its students was approached by a driver in a black vehicle as they were travelling to school.,general,Alexander Darling,2025-03-19T10:16:53+00:00
